Diag,N in best scale,Best scale,Score of best scale,CV ML scores at N,CV sum scores at N,Mean ML score at N,Median ML score at N,Std ML score at N,Mean sum score at N,Min ML score at N,Min sum score at N,Delta ML
Language,10,"C3SR,C3SR_PI",0.685,"[0.6307503468886754, 0.5869356388088376, 0.7130963816842779, 0.6705624933290639, 0.6107909061799551, 0.6279218699967979, 0.6510833600170777, 0.8109723556409435, 0.6145266303767745, 0.7224890596648522]","[0.5177713736791547, 0.5482442096274949, 0.6502828476891878, 0.6160209200555022, 0.5647881310705518, 0.5989433237271854, 0.6683744262994984, 0.7921336321912691, 0.5640409862311879, 0.7009819617888782]",0.664,0.641,0.064,0.622,0.587,0.518,-0.021
ADHD-C,9,"SWAN,SWAN_HY",0.835,"[0.8486101211689236, 0.8686386315039202, 0.841696364932288, 0.818056545497743, 0.8532192919933476, 0.7753148016155855, 0.8067236873366594, 0.8250890947968639, 0.8155381325730577, 0.7805654549774294]","[0.8345450225706819, 0.8573057733428369, 0.8208125445473984, 0.8085055832739367, 0.8429793300071275, 0.7628890472796389, 0.7884057971014492, 0.8220717510097411, 0.79368020907579, 0.7604656688049416]",0.823,0.822,0.029,0.809,0.775,0.760,-0.012
SLD-Writing (test),10,"C3SR,C3SR_LP_T",0.685,"[0.6956149193548387, 0.646194556451613, 0.6630292338709677, 0.6737903225806452, 0.6338457661290322, 0.6939012096774193, 0.6642137096774194, 0.669657258064516, 0.7074596774193548, 0.7011592741935484]","[0.6646925403225806, 0.580367943548387, 0.6421370967741936, 0.614516129032258, 0.5678679435483871, 0.6398941532258065, 0.6054939516129032, 0.6253528225806451, 0.6248235887096774, 0.6229334677419355]",0.675,0.672,0.023,0.619,0.634,0.568,-0.010
Any,12,"SRS,SRS_DSMRRB_T",0.790,"[0.7882058970514743, 0.7979010494752624, 0.7957521239380311, 0.7310344827586206, 0.7792603698150924, 0.7285857071464268, 0.8318840579710145, 0.8296851574212895, 0.8497751124437781, 0.7527236381809095]","[0.7883058470764617, 0.7930034982508746, 0.7839080459770115, 0.7033983008495752, 0.7598200899550225, 0.6899050474762618, 0.814192903548226, 0.8326836581709146, 0.8519240379810096, 0.7419290354822589]",0.788,0.792,0.040,0.776,0.729,0.690,-0.002
SAD,7,"SCARED_P,SCARED_P_SC",0.778,"[0.7832848837209303, 0.7469476744186047, 0.8207848837209303, 0.7385174418604651, 0.7060077519379844, 0.7436046511627906, 0.772577519379845, 0.8456879844961241, 0.8013081395348838, 0.8133236434108527]","[0.7795058139534885, 0.6862403100775194, 0.7495639534883721, 0.6636143410852713, 0.6416666666666666, 0.6516957364341086, 0.7484496124031008, 0.7314437984496124, 0.7225290697674419, 0.7021317829457364]",0.777,0.778,0.041,0.708,0.706,0.642,-0.001
ASD,27,"ASSQ,ASSQ_Total",0.835,"[0.853779069767442, 0.8039728682170542, 0.8459302325581396, 0.8744186046511628, 0.8811046511627907, 0.8165697674418605, 0.8500968992248061, 0.8572674418604651, 0.7986434108527132, 0.8607558139534884]","[0.8372093023255814, 0.7850290697674419, 0.8339631782945738, 0.8688953488372093, 0.87640503875969, 0.7875968992248061, 0.838032945736434, 0.8401647286821706, 0.7886627906976744, 0.8440406976744187]",0.844,0.852,0.027,0.830,0.799,0.785,0.009
NVLD (test),12,"SRS,SRS_COG_T",0.667,"[0.6835838375951591, 0.6167284794065977, 0.6409655800637647, 0.7228837269828876, 0.7235343874032143, 0.745201379400091, 0.7209968117639405, 0.6636736287331642, 0.7060966881384605, 0.690155507840458]","[0.6102544082243477, 0.6258051922701543, 0.6317587351161429, 0.7297156613963173, 0.6851779556249593, 0.7381417138395472, 0.7041772398984969, 0.5921009824972346, 0.6474396512460147, 0.6516689439781378]",0.691,0.698,0.039,0.662,0.617,0.592,0.024
ODD,18,"CBCL,CBCL_AB_T",0.829,"[0.8460996240601504, 0.8672462406015037, 0.8697916666666666, 0.8764097744360902, 0.8367011278195489, 0.8862781954887218, 0.8135181704260652, 0.8244047619047619, 0.8607456140350878, 0.8586309523809523]","[0.8519736842105262, 0.8394815162907268, 0.8649357769423559, 0.8688126566416039, 0.8257362155388471, 0.8797775689223057, 0.79718828320802, 0.8109727443609022, 0.8242089598997494, 0.849545739348371]",0.854,0.860,0.022,0.841,0.814,0.797,0.025
GAD,9,"SCARED_P,SCARED_P_GD",0.773,"[0.8577601348977728, 0.8691772641045458, 0.8295861729782898, 0.8184500807981452, 0.8201363029579147, 0.7652638235087472, 0.7998313777840231, 0.7797723600084311, 0.856460338649617, 0.8516827091969368]","[0.7912948781001897, 0.825967821260451, 0.7800533970350594, 0.7556031757184009, 0.791716433640132, 0.7152041031405888, 0.7373357689875641, 0.7188927141150846, 0.836858006042296, 0.824386987985667]",0.825,0.825,0.033,0.778,0.765,0.715,0.052
SLD-Reading,10,"C3SR,C3SR_LP_T",0.694,"[0.6693507157464212, 0.7581160531697342, 0.6837295501022495, 0.7565823108384458, 0.7828156952965236, 0.746868609406953, 0.7727505112474438, 0.7642829754601227, 0.8070040899795502, 0.7577965235173825]","[0.5568443251533742, 0.613976226993865, 0.5959228016359919, 0.6468238752556238, 0.6979805725971371, 0.66359918200409, 0.6682962678936605, 0.6751022494887525, 0.6583908486707566, 0.6912704498977505]",0.750,0.758,0.040,0.647,0.669,0.557,0.056
Phobia,13,"CBCL,CBCL_AD_T",0.670,"[0.7419681929768385, 0.6817696659195218, 0.760646813960935, 0.7152310812253175, 0.7187533354680329, 0.6264275803180702, 0.6910556089230441, 0.7856227985910983, 0.7753228733055822, 0.8037143772014089]","[0.7281993809371331, 0.6660796242928808, 0.6607428754402817, 0.7199807877041307, 0.6836375280179314, 0.5569431102572313, 0.6952716405165973, 0.739086348596435, 0.7898388301846516, 0.7793254349450314]",0.730,0.730,0.052,0.702,0.626,0.557,0.060
NVLD no read (test),12,"SRS,SRS_COG_T",0.669,"[0.7367549668874173, 0.6995493009565857, 0.7669701986754967, 0.7108167770419426, 0.7416298749080207, 0.7803532008830022, 0.7743285504047095, 0.6729672553348051, 0.7557487122884473, 0.743883370125092]","[0.6808084988962473, 0.6302428256070641, 0.7330068064753494, 0.6960080941869021, 0.6772672921265636, 0.7026076158940396, 0.7153927520235467, 0.5850809418690213, 0.6583655261221486, 0.686396247240618]",0.738,0.743,0.033,0.677,0.673,0.585,0.069
SLD-Math (test),10,"C3SR,C3SR_LP_T",0.636,"[0.7244424028989945, 0.7151533711019241, 0.6955545347828306, 0.7342418210585413, 0.6937171438779155, 0.7323533915173788, 0.7302097687949778, 0.7682845914357167, 0.7221711835859747, 0.6932577961516868]","[0.6535242178328995, 0.7174756290511918, 0.6454856326238962, 0.67383759505946, 0.6958352472821926, 0.6396672280916653, 0.6694737916602868, 0.7105598938396366, 0.6713111825652018, 0.5998315725003828]",0.721,0.723,0.022,0.668,0.693,0.600,0.085
ADHD-I,9,"SWAN,SWAN_IN",0.622,"[0.6911259754738016, 0.7675585284280936, 0.7009810479375697, 0.6613377926421405, 0.6910590858416945, 0.7231884057971014, 0.6848829431438127, 0.7159643255295429, 0.7162764771460424, 0.7424526198439242]","[0.6834113712374583, 0.6940468227424749, 0.6955852842809365, 0.6030546265328874, 0.6765440356744705, 0.6855072463768117, 0.677324414715719, 0.64082497212932, 0.6919063545150502, 0.7068450390189521]",0.709,0.708,0.029,0.676,0.661,0.603,0.087
PS (test),9,"SWAN,SWAN_IN",0.602,"[0.710962333121424, 0.690877304513668, 0.7035521296884933, 0.7144389701207883, 0.6357279084551812, 0.6762555626191988, 0.6729974570883661, 0.7104259376986649, 0.7089558169103624, 0.705558645899555]","[0.6755403687221868, 0.6577201207883026, 0.6999562937062936, 0.6830101716465353, 0.6263310553083279, 0.6290328989192625, 0.606842021614749, 0.6707128099173553, 0.6910561029879212, 0.6709909408773045]",0.693,0.705,0.024,0.661,0.636,0.607,0.091
SLD-Reading (test),10,"C3SR,C3SR_LP_T",0.702,"[0.7767592592592593, 0.8111728395061727, 0.7787345679012346, 0.7978395061728394, 0.792746913580247, 0.808395061728395, 0.8317901234567902, 0.7883333333333333, 0.7516975308641975, 0.8390432098765432]","[0.6498765432098765, 0.6784567901234567, 0.6791666666666667, 0.721820987654321, 0.6280246913580246, 0.747037037037037, 0.745, 0.7461728395061729, 0.649753086419753, 0.7748456790123456]",0.798,0.795,0.025,0.702,0.752,0.628,0.096
BIF (test),10,"C3SR,C3SR_LP_T",0.646,"[0.7403070719602979, 0.7763130686517783, 0.8165064102564104, 0.7904001240694789, 0.7445978081058726, 0.7381617038875103, 0.6957196029776674, 0.7464846980976013, 0.7619933829611247, 0.7659997932175351]","[0.6908343672456575, 0.7483715880893301, 0.7913306451612904, 0.7417287014061208, 0.7199389991728701, 0.6855355665839536, 0.6886373035566584, 0.6811155913978494, 0.7383426385442514, 0.7330438378825476]",0.758,0.754,0.031,0.722,0.696,0.681,0.112
None,5,"CCSC,CCSC_DPS",0.604,"[0.7687656171914042, 0.8394802598700649, 0.7976011994002998, 0.8094452773613193, 0.8015992003998001, 0.8285357321339331, 0.7654172913543228, 0.7899550224887557, 0.7997001499250375, 0.8214892553723139]","[0.7882558720639681, 0.8413793103448276, 0.7962018990504748, 0.7849575212393803, 0.7964017991004498, 0.8259870064967516, 0.7573213393303349, 0.7740129935032484, 0.7960019990004997, 0.8260869565217392]",0.802,0.801,0.023,0.799,0.765,0.757,0.198
